"","id","date","depVar","measured","variable","value"
"1",1,"1931",77.1,81.3219322945341,"bzero",127.639997364481
"2",2,"1932",92.9,84.6671694646547,"bzero",127.639997364481
"3",3,"1933",98.3,96.2889346729926,"bzero",127.639997364481
"4",4,"1934",88.1,97.6490073933486,"bzero",127.639997364481
"5",5,"1935",79.4,102.119695432728,"bzero",127.639997364481
"6",6,"1936",91,108.376468777624,"bzero",127.639997364481
"7",7,"1937",100.4,111.48351445243,"bzero",127.639997364481
"8",8,"1938",108.9,117.070081808509,"bzero",127.639997364481
"9",9,"1939",123.6,124.492512674452,"bzero",127.639997364481
"10",10,"1940",157.3,114.623392277448,"bzero",127.639997364481
"11",11,"1941",154.3,105.915194129411,"bzero",127.639997364481
"12",12,"1942",143.9,100.650296716804,"bzero",127.639997364481
"13",13,"1943",147.5,115.925955925751,"bzero",127.639997364481
"14",14,"1944",97.3,121.164642406601,"bzero",127.639997364481
"15",15,"1945",76.6,119.56432328194,"bzero",127.639997364481
"16",16,"1946",72.8,88.671450848767,"bzero",127.639997364481
"17",17,"1947",68.9,73.2493426865416,"bzero",127.639997364481
"18",18,"1948",66.7,73.0866362655238,"bzero",127.639997364481
"19",19,"1949",55,71.165029713769,"bzero",127.639997364481
"20",20,"1950",55,68.1042323711052,"bzero",127.639997364481
"21",21,"1951",55,65.180429196007,"bzero",127.639997364481
"22",22,"1952",54.7,58.5314293324297,"bzero",127.639997364481
"23",23,"1953",47.9,48.507763815093,"bzero",127.639997364481
"24",24,"1954",49,48.0693888519048,"bzero",127.639997364481
"25",25,"1955",44.4,44.5303091201144,"bzero",127.639997364481
"26",26,"1956",40.2,43.5626595453607,"bzero",127.639997364481
"27",27,"1957",43.8,47.6788438305928,"bzero",127.639997364481
"28",28,"1958",49.5,53.2686818234317,"bzero",127.639997364481
"29",29,"1959",50.4,45.6619790584555,"bzero",127.639997364481
"30",30,"1960",59.6,54.560848520472,"bzero",127.639997364481
"31",31,"1961",72.4,62.612419481958,"bzero",127.639997364481
"32",32,"1962",70.6,64.0815005530921,"bzero",127.639997364481
"33",33,"1963",82,71.1500353466429,"bzero",127.639997364481
"34",34,"1964",89.5,79.3089879174345,"bzero",127.639997364481
"35",35,"1965",101.3,93.0511261283778,"bzero",127.639997364481
"36",36,"1966",116.7,111.831007020029,"bzero",127.639997364481
"37",37,"1967",115.2,122.244980225746,"bzero",127.639997364481
"38",38,"1968",122.9,130.677796637921,"bzero",127.639997364481
"39",1,"1931",77.1,81.3219322945341,"tfr",-149.012841592131
"40",2,"1932",92.9,84.6671694646547,"tfr",-143.611126084416
"41",3,"1933",98.3,96.2889346729926,"tfr",-133.366493224957
"42",4,"1934",88.1,97.6490073933486,"tfr",-130.525935932107
"43",5,"1935",79.4,102.119695432728,"tfr",-128.290743308225
"44",6,"1936",91,108.376468777624,"tfr",-125.54331904137
"45",7,"1937",100.4,111.48351445243,"tfr",-123.214993391493
"46",8,"1938",108.9,117.070081808509,"tfr",-125.776151606358
"47",9,"1939",123.6,124.492512674452,"tfr",-123.587525495474
"48",10,"1940",157.3,114.623392277448,"tfr",-128.802974951198
"49",11,"1941",154.3,105.915194129411,"tfr",-131.876364809036
"50",12,"1942",143.9,100.650296716804,"tfr",-138.023144524711
"51",13,"1943",147.5,115.925955925751,"tfr",-141.608766025522
"52",14,"1944",97.3,121.164642406601,"tfr",-140.165204122598
"53",15,"1945",76.6,119.56432328194,"tfr",-140.537736226578
"54",16,"1946",72.8,88.671450848767,"tfr",-157.115414853703
"55",17,"1947",68.9,73.2493426865416,"tfr",-165.078288576283
"56",18,"1948",66.7,73.0866362655238,"tfr",-160.235371224538
"57",19,"1949",55,71.165029713769,"tfr",-160.933868919501
"58",20,"1950",55,68.1042323711052,"tfr",-160.887302406504
